
                            < M A T L A B (R) >
                  Copyright 1984-2021 The MathWorks, Inc.
             R2021a Update 1 (9.10.0.1649659) 64-bit (glnxa64)
                               April 13, 2021

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
Datastore creation...
Network creation...
Training...
[Warning: Support for GPU devices with Compute Capability 5.2 will be removed in
a future MATLAB release. For more information on GPU support, see <a
href="matlab:web('http://www.mathworks.com/help/parallel-computing/gpu-support-by-release.html','-browser')">GPU
Support by Release</a>.] 
[> In parallel.internal.gpu.selectDevice
In parallel.gpu/GPUDevice/current (line 44)
In gpuDevice (line 23)
In nnet.internal.cnn.util.isGPUCompatible (line 10)
In nnet.internal.cnn.util.GPUShouldBeUsed>iCheckLocalGPU (line 51)
In nnet.internal.cnn.util.GPUShouldBeUsed>iValidateGPU (line 85)
In nnet.internal.cnn.util.GPUShouldBeUsed (line 34)
In nnet.internal.cnn.assembler.setupExecutionEnvironment (line 32)
In nnet.internal.cnn.trainNetwork.doTrainNetwork (line 22)
In trainNetwork (line 182)
In fullUNet_image_reconstruction (line 181)
In run (line 91)] 
Training on single GPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |     RMSE     |     RMSE     |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       2 |         690 |       01:53:13 |         6.00 |         6.02 |      18.0240 |      18.1421 |          0.1000 |
|       2 |         695 |       01:54:02 |         5.99 |         6.05 |      17.9290 |      18.3084 |          0.1000 |
|       2 |         700 |       01:54:51 |         5.95 |         5.99 |      17.7170 |      17.9230 |          0.1000 |
|       2 |         705 |       01:55:41 |         5.95 |         6.01 |      17.7194 |      18.0366 |          0.1000 |
|       2 |         710 |       01:56:29 |         5.89 |         5.94 |      17.3475 |      17.6545 |          0.1000 |
|       2 |         715 |       01:57:18 |         6.00 |         6.03 |      17.9722 |      18.1964 |          0.1000 |
|       2 |         720 |       01:58:08 |         6.07 |         5.90 |      18.4385 |      17.4016 |          0.1000 |
|       2 |         725 |       01:58:57 |         5.94 |         5.91 |      17.6192 |      17.4638 |          0.1000 |
|       2 |         730 |       01:59:46 |         6.06 |         5.90 |      18.3748 |      17.3921 |          0.1000 |
|       2 |         735 |       02:00:35 |         5.72 |         5.88 |      16.3482 |      17.2679 |          0.1000 |
|       2 |         740 |       02:01:25 |         5.78 |         5.86 |      16.7055 |      17.1764 |          0.1000 |
|       2 |         745 |       02:02:14 |         5.77 |         5.83 |      16.6312 |      16.9698 |          0.1000 |
|       2 |         750 |       02:03:04 |         5.94 |         5.83 |      17.6430 |      16.9866 |          0.1000 |
|       2 |         755 |       02:03:53 |         5.87 |         5.81 |      17.2565 |      16.8692 |          0.1000 |
|       2 |         760 |       02:04:42 |         5.79 |         5.86 |      16.7389 |      17.1967 |          0.1000 |
|       2 |         765 |       02:05:31 |         5.74 |         5.97 |      16.4842 |      17.8014 |          0.1000 |
|       2 |         770 |       02:06:23 |         5.85 |         5.78 |      17.1018 |      16.6767 |          0.1000 |
|       2 |         775 |       02:07:12 |         5.86 |         5.87 |      17.1681 |      17.2170 |          0.1000 |
|       2 |         780 |       02:08:02 |         5.73 |         5.75 |      16.4095 |      16.5164 |          0.1000 |
|       2 |         785 |       02:08:51 |         5.75 |         5.82 |      16.5379 |      16.9505 |          0.1000 |
|       2 |         790 |       02:09:40 |         5.98 |         5.75 |      17.8651 |      16.5136 |          0.1000 |
|       2 |         795 |       02:10:30 |         5.63 |         5.77 |      15.8430 |      16.6618 |          0.1000 |
